case,component,rackx,racky,rackw,rackh,order,mandatory_new
breaker_bottom_1800_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_1800_2_No,kit_mouldedcasecircuitbreaker_n185,1,5(4-5),2,5,1,1
breaker_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_1800_2_Yes,kit_mouldedcasecircuitbreaker_n185,1,5(4-5),2,5,1,1
breaker_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,10(9-10),2,3(3-4),2,1
breaker_top_1800_2_No,kit_mouldedcasecircuitbreaker_n185,1,4(4-5),2,5,1,1
breaker_top_1800_2_No,kit_npebusbarsystem_n185,1,9(9-10),2,4(3-4),2,1
breaker_top_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_1800_2_Yes,kit_mouldedcasecircuitbreaker_n185,1,4(4-5),2,5,1,1
breaker_top_1800_2_Yes,kit_npebusbarsystem_n185,1,9(9-10),2,3(3-4),2,1
breaker_bottom_2100_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_No,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),2,5,1,1
breaker_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
breaker_bottom_2100_2_Yes,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),2,5,1,1
breaker_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,12(11-12),2,3(3-4),2,1
breaker_top_2100_2_No,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),2,5,1,1
breaker_top_2100_2_No,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_top_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
breaker_top_2100_2_Yes,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),2,5,1,1
breaker_top_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
breaker_bottom_1800_3_No,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_1800_3_No,kit_mouldedcasecircuitbreaker_n185,1,5(4-5),3,5,1,1
breaker_bottom_1800_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_1800_3_Yes,kit_mouldedcasecircuitbreaker_n185,1,5(4-5),3,5,1,1
breaker_bottom_1800_3_Yes,kit_npebusbarsystem_n185,1,10(9-10),3,3(3-4),2,1
breaker_top_1800_3_No,kit_mouldedcasecircuitbreaker_n185,1,4(4-5),3,5,1,1
breaker_top_1800_3_No,kit_npebusbarsystem_n185,1,9(9-10),3,4(3-4),2,1
breaker_top_1800_3_Yes,kit_npebusbarsystem_n185,1,1,3,3(3-4),2,1
breaker_top_1800_3_Yes,kit_mouldedcasecircuitbreaker_n185,1,4(4-5),3,5,1,1
breaker_top_1800_3_Yes,kit_npebusbarsystem_n185,1,9(9-10),3,3(3-4),2,1
breaker_bottom_2100_3_No,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_2100_3_No,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),3,5,1,1
breaker_bottom_2100_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_bottom_2100_3_Yes,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),3,5,1,1
breaker_bottom_2100_3_Yes,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
breaker_top_2100_3_No,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),3,5,1,1
breaker_top_2100_3_No,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
breaker_top_2100_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
breaker_top_2100_3_Yes,kit_mouldedcasecircuitbreaker_n185,1,5(4-7),3,5,1,1
breaker_top_2100_3_Yes,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
coupler_bottom_1800_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
coupler_bottom_1800_2_No,kit_coupler_n185,1,5(4-5),2,5,1,1
coupler_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
coupler_bottom_1800_2_Yes,kit_coupler_n185,1,5(4-5),2,5,1,1
coupler_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,10(9-10),2,3(3-4),2,1
coupler_top_1800_2_No,kit_coupler_n185,1,4(4-5),2,5,1,1
coupler_top_1800_2_No,kit_npebusbarsystem_n185,1,9(9-10),2,4(3-4),2,1
coupler_top_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
coupler_top_1800_2_Yes,kit_coupler_n185,1,4(4-5),2,5,1,1
coupler_top_1800_2_Yes,kit_npebusbarsystem_n185,1,9(9-10),2,3(3-4),2,1
coupler_bottom_2100_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
coupler_bottom_2100_2_No,kit_coupler_n185,1,5(4-7),2,5,1,1
coupler_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
coupler_bottom_2100_2_Yes,kit_coupler_n185,1,5(4-7),2,5,1,1
coupler_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
coupler_top_2100_2_No,kit_coupler_n185,1,5(4-7),2,5,1,1
coupler_top_2100_2_No,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
coupler_top_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
coupler_top_2100_2_Yes,kit_coupler_n185,1,5(4-7),2,5,1,1
coupler_top_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
fuse_switch_disconnector_bottom_1800_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
fuse_switch_disconnector_bottom_1800_2_No,kit_fuseswitchdisconnector_n185,1,5(4-5),2,5,1,1
fuse_switch_disconnector_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
fuse_switch_disconnector_bottom_1800_2_Yes,kit_fuseswitchdisconnector_n185,1,5(4-5),2,5,1,1
fuse_switch_disconnector_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,10(9-10),2,3(3-4),2,1
fuse_switch_disconnector_top_1800_2_No,kit_fuseswitchdisconnector_n185,1,4(4-5),2,5,1,1
fuse_switch_disconnector_top_1800_2_No,kit_npebusbarsystem_n185,1,9(9-10),2,4(3-4),2,1
fuse_switch_disconnector_top_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
fuse_switch_disconnector_top_1800_2_Yes,kit_fuseswitchdisconnector_n185,1,4(4-5),2,5,1,1
fuse_switch_disconnector_top_1800_2_Yes,kit_npebusbarsystem_n185,1,9(9-10),2,3(3-4),2,1
fuse_switch_disconnector_bottom_2100_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
fuse_switch_disconnector_bottom_2100_2_No,kit_fuseswitchdisconnector_n185,1,5(4-7),2,5,1,1
fuse_switch_disconnector_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
fuse_switch_disconnector_bottom_2100_2_Yes,kit_fuseswitchdisconnector_n185,1,5(4-7),2,5,1,1
fuse_switch_disconnector_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
fuse_switch_disconnector_top_2100_2_No,kit_fuseswitchdisconnector_n185,1,5(4-7),2,5,1,1
fuse_switch_disconnector_top_2100_2_No,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
fuse_switch_disconnector_top_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
fuse_switch_disconnector_top_2100_2_Yes,kit_fuseswitchdisconnector_n185,1,5(4-7),2,5,1,1
fuse_switch_disconnector_top_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
fuse_switch_disconnector_bottom_1800_3_No,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
fuse_switch_disconnector_bottom_1800_3_No,kit_fuseswitchdisconnector_n185,1,5(4-5),3,5,1,1
fuse_switch_disconnector_bottom_1800_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
fuse_switch_disconnector_bottom_1800_3_Yes,kit_fuseswitchdisconnector_n185,1,5(4-5),3,5,1,1
fuse_switch_disconnector_bottom_1800_3_Yes,kit_npebusbarsystem_n185,1,10(9-10),3,3(3-4),2,1
fuse_switch_disconnector_top_1800_3_No,kit_fuseswitchdisconnector_n185,1,4(4-5),3,5,1,1
fuse_switch_disconnector_top_1800_3_No,kit_npebusbarsystem_n185,1,9(9-10),3,4(3-4),2,1
fuse_switch_disconnector_top_1800_3_Yes,kit_npebusbarsystem_n185,1,1,3,3(3-4),2,1
fuse_switch_disconnector_top_1800_3_Yes,kit_fuseswitchdisconnector_n185,1,4(4-5),3,5,1,1
fuse_switch_disconnector_top_1800_3_Yes,kit_npebusbarsystem_n185,1,9(9-10),3,3(3-4),2,1
fuse_switch_disconnector_bottom_2100_3_No,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
fuse_switch_disconnector_bottom_2100_3_No,kit_fuseswitchdisconnector_n185,1,5(4-7),3,5,1,1
fuse_switch_disconnector_bottom_2100_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
fuse_switch_disconnector_bottom_2100_3_Yes,kit_fuseswitchdisconnector_n185,1,5(4-7),3,5,1,1
fuse_switch_disconnector_bottom_2100_3_Yes,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
fuse_switch_disconnector_top_2100_3_No,kit_fuseswitchdisconnector_n185,1,5(4-7),3,5,1,1
fuse_switch_disconnector_top_2100_3_No,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
fuse_switch_disconnector_top_2100_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
fuse_switch_disconnector_top_2100_3_Yes,kit_fuseswitchdisconnector_n185,1,5(4-7),3,5,1,1
fuse_switch_disconnector_top_2100_3_Yes,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
switch_disconnector_fuse_bottom_1800_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
switch_disconnector_fuse_bottom_1800_2_No,kit_switchdisconnector_n185,1,5(4-5),2,5,1,1
switch_disconnector_fuse_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
switch_disconnector_fuse_bottom_1800_2_Yes,kit_switchdisconnector_n185,1,5(4-5),2,5,1,1
switch_disconnector_fuse_bottom_1800_2_Yes,kit_npebusbarsystem_n185,1,10(9-10),2,3(3-4),2,1
switch_disconnector_fuse_top_1800_2_No,kit_switchdisconnector_n185,1,4(4-5),2,5,1,1
switch_disconnector_fuse_top_1800_2_No,kit_npebusbarsystem_n185,1,9(9-10),2,4(3-4),2,1
switch_disconnector_fuse_top_1800_2_Yes,kit_npebusbarsystem_n185,1,1,2,3(3-4),2,1
switch_disconnector_fuse_top_1800_2_Yes,kit_switchdisconnector_n185,1,4(4-5),2,5,1,1
switch_disconnector_fuse_top_1800_2_Yes,kit_npebusbarsystem_n185,1,9(9-10),2,3(3-4),2,1
switch_disconnector_fuse_bottom_2100_2_No,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
switch_disconnector_fuse_bottom_2100_2_No,kit_switchdisconnector_n185,1,5(4-7),2,5,1,1
switch_disconnector_fuse_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
switch_disconnector_fuse_bottom_2100_2_Yes,kit_switchdisconnector_n185,1,5(4-7),2,5,1,1
switch_disconnector_fuse_bottom_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
switch_disconnector_fuse_top_2100_2_No,kit_switchdisconnector_n185,1,5(4-7),2,5,1,1
switch_disconnector_fuse_top_2100_2_No,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
switch_disconnector_fuse_top_2100_2_Yes,kit_npebusbarsystem_n185,1,1,2,4(3-4),2,1
switch_disconnector_fuse_top_2100_2_Yes,kit_switchdisconnector_n185,1,5(4-7),2,5,1,1
switch_disconnector_fuse_top_2100_2_Yes,kit_npebusbarsystem_n185,1,11(11-12),2,4(3-4),2,1
switch_disconnector_fuse_bottom_1800_3_No,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
switch_disconnector_fuse_bottom_1800_3_No,kit_switchdisconnector_n185,1,5(4-5),3,5,1,1
switch_disconnector_fuse_bottom_1800_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
switch_disconnector_fuse_bottom_1800_3_Yes,kit_switchdisconnector_n185,1,5(4-5),3,5,1,1
switch_disconnector_fuse_bottom_1800_3_Yes,kit_npebusbarsystem_n185,1,10(9-10),3,3(3-4),2,1
switch_disconnector_fuse_top_1800_3_No,kit_switchdisconnector_n185,1,4(4-5),3,5,1,1
switch_disconnector_fuse_top_1800_3_No,kit_npebusbarsystem_n185,1,9(9-10),3,4(3-4),2,1
switch_disconnector_fuse_top_1800_3_Yes,kit_npebusbarsystem_n185,1,1,3,3(3-4),2,1
switch_disconnector_fuse_top_1800_3_Yes,kit_switchdisconnector_n185,1,4(4-5),3,5,1,1
switch_disconnector_fuse_top_1800_3_Yes,kit_npebusbarsystem_n185,1,9(9-10),3,3(3-4),2,1
switch_disconnector_fuse_bottom_2100_3_No,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
switch_disconnector_fuse_bottom_2100_3_No,kit_switchdisconnector_n185,1,5(4-7),3,5,1,1
switch_disconnector_fuse_bottom_2100_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
switch_disconnector_fuse_bottom_2100_3_Yes,kit_switchdisconnector_n185,1,5(4-7),3,5,1,1
switch_disconnector_fuse_bottom_2100_3_Yes,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
switch_disconnector_fuse_top_2100_3_No,kit_switchdisconnector_n185,1,5(4-7),3,5,1,1
switch_disconnector_fuse_top_2100_3_No,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
switch_disconnector_fuse_top_2100_3_Yes,kit_npebusbarsystem_n185,1,1,3,4(3-4),2,1
switch_disconnector_fuse_top_2100_3_Yes,kit_switchdisconnector_n185,1,5(4-7),3,5,1,1
switch_disconnector_fuse_top_2100_3_Yes,kit_npebusbarsystem_n185,1,11(11-12),3,4(3-4),2,1
